央视,#genre#
CCTV1综合,http://39.135.34.150:8080/000000001000/1000000001000021973/1.m3u8?xtkg#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV2财经,rtsp://183.252.166.199/PLTV/88888888/224/3221226655/40417429.smil#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8
CCTV3综艺,http://39.135.34.150:8080/000000001000/1000000001000011218/1.m3u8?xtkg
CCTV4国际,http://39.135.34.150:8080/000000001000/1000000002000031664/1.m3u8?xtkg#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV5体育,http://39.135.34.150:8080/000000001000/1000000001000004794/1.m3u8?xtkg#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv5/HD-8000k-1080P-cctv5
CCTV5体育+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8#http://39.134.39.39/TVOD/88888888/224/3221226253/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225718/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv05plus/HD-8000k-1080P-cctv05plus
CCTV6电影,http://39.135.34.150:8080/000000001000/1000000001000016466/1.m3u8?xtkg#http://183.207.248.71:80/cntv/live1/cctv-6/cctv-6
CCTV7军事,http://39.135.34.150:8080/000000001000/7050628689018054317/1.m3u8?xtkg#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226803/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV8电视剧,http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?xtkg#http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv8/HD-8000k-1080P-cctv8
CCTV9记录,http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?xtkg#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226923/index.m3u8
